Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Descripción del proyecto;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;025;93301;62200;2014/000169;2014/000169;ESTUDIOS Y TRABAJOS TÉCNICOS PARA DESARROLLO PROYECTOS DE NUEVA CONSTRUCCIÓN;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;025;93301;62200;2014/000180;2014/000180;PARQUE DE BOMBEROS Y SAMUR C/SAN BERNARDO, 68. CONSTRUCCIÓN;201;CENTRO;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;471.356,50;471.356,50;0,00;300.000,00;171.356,50;171.356,50;25.120,76;0,00;23.225,95
;;001;025;93301;62200;2014/000442;2014/000442;CENTRO DE MAYORES C/ PEZ AUSTRAL, BARRIO DE LA ESTRELLA. CONSTRUCCIÓN;203;RETIRO;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;;;;;;;0,00;14.399,00;14.399,00;0,00;0,00;14.399,00;14.399,00;14.399,00;0,00;0,00
;;001;025;93301;62799;2014/000137;2014/000137;ADECUACIÓN REDES DE SERVICIOS EN EDIFICIOS MUNICIPALES;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;93.556,00;-93.555,97;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00
;;001;025;93301;62799;2014/000137;2014/010137;PARQUE ARROYO DE LA GAVIA. ADECUACIÓN REDES DE SERVICIO;218;VILLA DE VALLECAS;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;45.176,97;45.176,97;0,00;18.085,07;27.091,90;27.091,90;27.091,90;0,00;0,00
;;001;025;93301;63200;2007/000028;2007/000028;EDIFICIO EN LA C/ DOS AMIGOS. OBRAS DE REFORMA Y ACONDICIONAMIENTO;201;CENTRO;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;;;;;;;0,00;14.507,51;14.507,51;0,00;0,00;14.507,51;14.507,51;14.507,51;0,00;14.507,51
;;001;025;93301;63200;2010/000170;2010/000170;OBRAS DE CONSERVACIÓN Y MANTENIMIENTO EN EDIFICIOS MUNICIPALES;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;025;93301;63200;2010/000170;2013/000295;EDIFICIO PLAZA DE LA VILLA, 5. MEJORA CUBIERTA PATIO DE CRISTALES;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;225.822,27;225.822,27;0,00;0,00;225.822,27;225.822,27;225.822,27;0,00;225.822,27
;;001;032;13501;64100;2014/000081;2014/000081;APLICACIONES INFORMÁTICAS PARA EL SERVICIO DE BOMBEROS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;100.000,00;-18.517,39;81.482,61;0,00;0,00;81.482,61;81.482,61;0,00;0,00;0,00
;;001;015;15501;61600;2014/000435;2014/000435;ENTORNO DEL BARRIO DE CHUECA. OBRAS DE REMODELACIÓN;201;CENTRO;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;0,00;21.780,00;21.780,00;99,22;0,00;21.680,78;21.680,78;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;015;15501;61600;2013/000117;2013/000117;CARRIL BICI EN C/ CIFUENTES;217;VILLAVERDE;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;30.000,00;30.000,00;3.722,77;0,00;26.277,23;26.277,23;21.288,07;0,00;21.288,07
;;001;015;15501;61901;2011/000318;2011/000318;MADRID CALLE 30 S.A. INVERSIONES DE REPOSICIÓN;998;VARIOS DISTRITOS;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;;;;;;;0,00;1.098.075,37;1.098.075,37;996.032,42;0,00;102.042,95;102.042,95;0,00;0,00;0,00
;;001;015;15501;61901;2011/000318;2014/000474;CALLE 30. IMPOSTAS DE SIETE PUENTES SOBRE LA M-30, RENOVACIÓN;998;VARIOS DISTRITOS;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;;;;;;;0,00;562.757,05;562.757,05;0,00;0,00;562.757,05;562.757,05;562.757,05;0,00;0,00
;;001;015;16101;60200;2006/001030;2006/001030;PARQUE LINEAL MANZANARES (NUDO SUR-PUENTE FRANCESES). URBANIZACIÓN;998;VARIOS DISTRITOS;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;0,00;438.552,23;438.552,23;0,00;0,00;438.552,23;438.552,23;438.552,23;0,00;438.552,23
;;001;015;16101;60300;2005/000824;2005/070824;NUEVO COLECTOR BY-PASS DE ABROÑIGALES. CONSTRUCCIÓN;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;0,00;494.454,35;494.454,35;0,00;0,00;494.454,35;494.454,35;494.454,35;0,00;494.454,35
;;001;015;16101;60300;2006/001044;2006/001044;SANEAMIENTO DE LAS MÁRGENES DEL RÍO MANZANARES. SISTEMA DE TELECONTROL;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;0,00;154.360,88;154.360,88;0,25;0,00;154.360,63;154.360,63;154.360,63;0,00;17.142,80
;;001;015;16101;60300;2008/000664;2008/000664;RED SURESTE DE REUTILIZACIÓN DE AGUAS. AMPLIACIÓN;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;0,00;531.735,05;531.735,05;8.650,11;0,00;523.084,94;523.084,94;523.084,94;0,00;523.084,94
;;001;015;16101;60300;2008/000884;2008/000884;CUENCAS VERTIENTES MANZANARES. CONSTRUCCIÓN PARTIDOR DE ARROYOFRESNO;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;0,00;12.178,28;12.178,28;0,00;0,00;12.178,28;12.178,28;12.178,28;0,00;12.178,28
;;001;015;16101;60300;2008/000891;2008/000891;COLECTOR DESDE LA PRESA DE EL PARDO HASTA ZONA NORTE A-6. CONSTRUCCIÓN;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;0,00;1.395.706,57;1.395.706,57;1.372.433,61;0,00;23.272,96;23.272,96;23.272,96;0,00;0,00
;;001;015;16101;60300;2009/000127;2009/000127;NUEVO COLECTOR DOBLADO DEL ABROÑIGAL B. CONSTRUCCIÓN;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;0,00;1.706.721,47;1.706.721,47;15.687,34;0,00;1.691.034,13;1.691.034,13;1.691.034,13;0,00;46.087,62
;;001;015;16101;60300;2009/000128;2009/000128;CONEXIÓN REDES DE AGUA REGENERADA NORESTE Y NOROESTE;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;0,00;5.352,76;5.352,76;0,00;0,00;5.352,76;5.352,76;0,00;0,00;0,00
;;001;015;16101;60300;2009/000417;2009/000417;COLECTOR EN LA SUBCUENCA DE PINOS. CONSTRUCCIÓN;208;FUENCARRAL-EL PARDO;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;26.307.060,00;0,00;26.307.060,00;295.114,84;0,00;26.011.945,16;26.011.945,16;26.011.943,20;0,00;23.928.877,73
;;001;015;16101;60300;2014/000141;2014/000141;CONEXIÓN REDES AGUA REGENERADA VALDEBEBAS-REJAS;221;BARAJAS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;1.000.000,00;-691.448,69;308.551,31;296.814,31;0,00;11.737,00;11.737,00;11.737,00;0,00;11.737,00
;;001;015;16101;60301;2014/000140;2014/000140;HIDRANTES EN LA VÍA PÚBLICA. INSTALACIÓN;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;25.000,00;-24.418,14;581,86;581,86;0,00;0,00;0,00;0,00;0,00;0,00
;;001;015;16101;60301;2014/000140;2014/010140;HIDRANTES DISTRITO FUENCARRAL-EL PARDO. INSTALACIÓN;208;FUENCARRAL-EL PARDO;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;16.415,78;16.415,78;0,00;0,00;16.415,78;16.415,78;16.415,78;0,00;8.524,48
;;001;015;16101;60301;2014/000140;2014/020140;HIDRANTES DISTRITO PUENTE DE VALLECAS. INSTALACIÓN;213;PUENTE DE VALLECAS;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;2.454,52;2.454,52;0,00;0,00;2.454,52;2.454,52;2.454,52;0,00;2.454,52
;;001;015;16101;60301;2014/000140;2014/030140;HIDRANTES DISTRITO LATINA. INSTALACIÓN;210;LATINA;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;14.165,54;14.165,54;0,00;0,00;14.165,54;14.165,54;14.165,54;0,00;10.147,63
