Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Descripción del proyecto;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;057;93301;63200;2015/000189;2015/320189;ESCUELA DE MÚSICA ISAAC ALBÉNIZ. OBRAS REGLAMENTO ELECTROTÉCNICO BAJA TENSIÓN;211;CARABANCHEL;05;EDUCACIÓN;03;ESCUELAS DE MÚSICA;;;;;;;0,00;17.300,74;17.300,74;0,00;0,00;17.300,74;17.300,74;17.300,74;0,00;17.300,74
;;001;057;93301;63200;2015/000189;2015/340189;CENTRO DE ATENCIÓN SOCIAL A LA MUJER MARÍA DE MAEZTU. NORMATIVA ELÉCTRICA;211;CARABANCHEL;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;04;ATENCIÓN SOCIAL A LA MUJER;;;;;;;0,00;13.577,60;13.577,60;0,00;0,00;13.577,60;13.577,60;13.577,60;0,00;13.577,60
;;001;057;93301;63200;2015/000189;2016/000653;ALMACÉN Y LABORATORIO FOTOMÉTRICO C/RONDA DE TOROS, 6. REGLAMENTO ELECTROTÉCNICO;209;MONCLOA-ARAVACA;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;35.832,86;35.832,86;0,00;0,00;35.832,86;35.832,86;35.828,80;0,00;35.828,80
;;001;057;93301;63200;2015/000189;2016/000656;EDIFICIO CABALLERIZAS FINCA TORRE ARIAS. OBRAS DERIVADAS INSPECCIÓN TÉCNICA EDIFICIOS;220;SAN BLAS-CANILLEJAS;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;0,00;923.001,72;923.001,72;0,00;0,00;923.001,72;923.001,72;801.693,08;0,00;466.619,62
;;001;057;93301;63200;2015/000189;2016/000657;EDIFICIO GUARDESES FINCA TORRE ARIAS. OBRAS DERIVADAS INSPECCIÓN TÉCNICA EDIFICIOS;220;SAN BLAS-CANILLEJAS;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;0,00;298.965,97;298.965,97;0,00;0,00;298.965,97;298.965,97;269.266,33;0,00;166.521,61
;;001;057;93301;63200;2015/000189;2016/000670;EDIFICIO CASA DEL RELOJ. OBRAS DERIVADAS REGLAMENTO ELECTROTÉCNICO DE BAJA TENSIÓN;202;ARGANZUELA;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;04;CENTROS POLIVALENTES;;;;;;;0,00;29.840,94;29.840,94;0,00;0,00;29.840,94;29.840,94;29.840,94;0,00;0,00
;;001;057;93301;63200;2015/000189;2016/000671;CENTRO DE DÍA MAYORES JOSÉ VILLARREAL. OBRAS REGLAMENTO ELECTROTÉCNICO BAJA TENSIÓN;202;ARGANZUELA;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;00;CENTROS DE DÍA Y RESIDENCIAS DE MAYORES;;;;;;;0,00;15.338,40;15.338,40;0,00;0,00;15.338,40;15.338,40;15.338,40;0,00;0,00
;;001;057;93301;63200;2015/000189;2016/000672;CENTRO DE MAYORES LUCA DE TENA. OBRAS REGLAMENTO ELECTROTÉCNICO DE BAJA TENSIÓN;202;ARGANZUELA;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;01;CENTROS DE MAYORES;;;;;;;0,00;3.433,58;3.433,58;0,00;0,00;3.433,58;3.433,58;3.433,58;0,00;0,00
;;001;057;93301;63200;2015/000189;2016/000673;COLEGIO PÚBLICO JOAQUÍN COSTA. OBRAS REGLAMENTO ELECTROTÉCNICO DE BAJA TENSIÓN;202;ARGANZUELA;05;EDUCACIÓN;00;COLEGIOS;;;;;;;0,00;28.746,71;28.746,71;0,00;0,00;28.746,71;28.746,71;28.746,71;0,00;0,00
;;001;077;92501;63901;2016/000396;2016/220396;OFICINA ATENCIÓN A LA CIUDADANÍA LÍNEA MADRID VICÁLVARO. SEÑALIZACIÓN;219;VICALVARO;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;0,00;907,86;907,86;0,00;0,00;907,86;907,86;907,86;0,00;0,00
