Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Descripción del proyecto;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;002;23270;60900;2017/000889;2017/000889;DERECHOS HUMANOS Y MEMORIA HISTÓRICA. INTERVENCIONES CONMEMORATIVAS;998;VARIOS DISTRITOS;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;250.000,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62301;2017/000310;2017/000310;SERVICIOS SECRETARÍA GENERAL DEL PLENO.INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10.000,00;-9.000,00;1.000,00;7,80;0,00;992,20;992,20;992,20;0,00;278,30
;;001;002;91230;62500;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7.000,00;0,00;7.000,00;191,27;0,00;6.808,73;6.808,73;6.808,73;0,00;6.808,73
;;001;002;91230;62599;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2.500,00;0,00;2.500,00;1.321,73;0,00;1.178,27;1.178,27;1.178,27;0,00;215,11
;;001;002;91230;62601;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;21.779,00;-7.000,00;14.779,00;2.095,62;8.000,00;4.683,38;4.683,38;4.683,38;0,00;4.683,38
;;001;002;91240;62301;2017/000309;2017/000309;SERVICIOS GRUPOS POLÍTICOS MUNICIPALES. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5.000,00;0,00;5.000,00;2.149,29;0,00;2.850,71;2.850,71;2.850,71;0,00;0,00
;;001;002;91240;62500;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;17.800,00;5.900,00;23.700,00;3.346,19;0,00;20.353,81;20.353,81;20.353,78;0,00;20.353,78
;;001;002;91240;62599;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2.500,00;27.400,00;29.900,00;4.519,90;0,00;25.380,10;25.380,10;25.380,10;0,00;25.380,10
;;001;002;91240;62601;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;86.000,00;0,00;86.000,00;5.963,01;23.210,73;56.826,26;56.826,26;56.826,26;0,00;56.826,26
;;001;012;46200;62301;2017/000246;2017/000246;SERVICIOS INNOVACIÓN Y PROMOCIÓN DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;600.000,00;-714,90;599.285,10;506.000,00;0,00;93.285,10;93.285,10;93.285,10;0,00;71.377,90
